当前 balance.js 数值下的实测（120 场/档）：
章节    档位      胜率       回合     剩余HP    敌人HP / 敌攻
第1章   mob     100.0%   2.2    84%     42 / 10
第1章   normal  100.0%   2.2    84%     51 / 11
第1章   elite   99.2%    2.6    71%     46 / 12
第1章   boss    72.5%    3.6    36%     49 / 13
第2章   mob     100.0%   2.2    86%     123 / 19
第2章   normal  100.0%   2.1    85%     149 / 22
第2章   elite   78.3%    2.9    43%     186 / 23
第2章   boss    86.7%    2.7    36%     181 / 25
第3章   mob     100.0%   2.0    87%     168 / 27
第3章   normal  100.0%   2.1    87%     223 / 31
第3章   elite   99.2%    3.0    62%     301 / 32
第3章   boss    50.0%    3.6    21%     379 / 35
第4章   mob     100.0%   2.0    90%     239 / 40
第4章   normal  100.0%   2.0    89%     314 / 45
第4章   elite   95.8%    3.3    63%     349 / 48
第4章   boss    70.0%    3.8    34%     417 / 51
第5章   mob     100.0%   2.0    87%     308 / 46
第5章   normal  100.0%   1.9    88%     439 / 52
第5章   elite   95.8%    2.8    60%     546 / 55
第5章   boss    96.7%    3.3    58%     608 / 60
第6章   mob     99.2%    2.1    86%     335 / 55
第6章   normal  100.0%   2.0    85%     524 / 62
第6章   elite   93.3%    3.0    52%     580 / 66
第6章   boss    59.2%    3.1    24%     756 / 71
